4.0 [4.000000000000002, 0.0, 0.0] [11.000000000000014, 11.000000000000014, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.1000000000000005 [4.100000000000001, 0.0, 0.0] [10.900000000000015, 10.900000000000015, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.2 [4.200000000000001, 0.0, 0.0] [10.800000000000015, 10.800000000000015, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.3 [4.300000000000001, 0.0, 0.0] [10.700000000000015, 10.700000000000015, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.4 [4.4, 0.0, 0.0] [10.600000000000016, 10.600000000000016, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.5 [4.5, 0.0, 0.0] [10.500000000000016, 10.500000000000016, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.6000000000000005 [4.6, 0.0, 0.0] [10.400000000000016, 10.400000000000016, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.7 [4.699999999999999, 0.0, 0.0] [10.300000000000017, 10.300000000000017, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.800000000000001 [4.799999999999999, 0.0, 0.0] [10.200000000000017, 10.200000000000017, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
4.9 [4.899999999999999, 0.0, 0.0] [10.100000000000017, 10.100000000000017, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.0 [4.999999999999998, 0.0, 0.0] [10.000000000000018, 10.000000000000018, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.1000000000000005 [5.099999999999998, 0.0, 0.0] [9.900000000000018, 9.900000000000018, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.2 [5.1999999999999975, 0.0, 0.0] [9.800000000000018, 9.800000000000018, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.300000000000001 [5.299999999999997, 0.0, 0.0] [9.700000000000019, 9.700000000000019, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.4 [5.399999999999997, 0.0, 0.0] [9.60000000000002, 9.60000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.5 [5.4999999999999964, 0.0, 0.0] [9.50000000000002, 9.50000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.6000000000000005 [5.599999999999996, 0.0, 0.0] [9.40000000000002, 9.40000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.7 [5.699999999999996, 0.0, 0.0] [9.30000000000002, 9.30000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.800000000000001 [5.799999999999995, 0.0, 0.0] [9.20000000000002, 9.20000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
5.9 [5.899999999999995, 0.0, 0.0] [9.166826462188055, 9.005662751847247, 0.0] [1.0, 0.0, 0.0] [0.6682646218803517, -0.9433724815277442, 0.0]
6.0 [5.999999999999995, 0.0, 0.0] [9.29954225030028, 8.817323046736721, 0.0] [1.0, 0.0, 0.0] [0.6588932592419054, -0.9400245695775137, 0.0]
6.1000000000000005 [6.099999999999994, 0.0, 0.0] [9.430373958231321, 8.629667167948018, 0.0] [1.0, 0.0, 0.0] [0.6494238200684872, -0.9365342183095222, 0.0]
6.2 [6.199999999999994, 0.0, 0.0] [9.559301984215592, 8.442724056653121, 0.0] [1.0, 0.0, 0.0] [0.6398564397742217, -0.932896894639435, 0.0]
6.300000000000001 [6.299999999999994, 0.0, 0.0] [9.686306764563229, 8.256523572739903, 0.0] [1.0, 0.0, 0.0] [0.6301913637021563, -0.9291079444927426, 0.0]
6.4 [6.399999999999993, 0.0, 0.0] [9.811368796443704, 8.071096519077694, 0.0] [1.0, 0.0, 0.0] [0.6204289551025981, -0.9251625921293483, 0.0]
6.5 [6.499999999999993, 0.0, 0.0] [9.934468662305205, 7.886474665888193, 0.0] [1.0, 0.0, 0.0] [0.6105697035124169, -0.9210559397656546, 0.0]
6.6000000000000005 [6.5999999999999925, 0.0, 0.0] [10.055587056010813, 7.7026907751586835, 0.0] [1.0, 0.0, 0.0] [0.6006142335436558, -0.9167829675294358, 0.0]
6.7 [6.699999999999992, 0.0, 0.0] [10.174704810774017, 7.5197786250271985, 0.0] [1.0, 0.0, 0.0] [0.5905633140883839, -0.9123385337854104, 0.0]
6.800000000000001 [6.799999999999992, 0.0, 0.0] [10.29180292897736, 7.337773034061442, 0.0] [1.0, 0.0, 0.0] [0.5804178679450511, -0.9077173758721506, 0.0]
6.9 [6.8999999999999915, 0.0, 0.0] [10.406862613958827, 7.156709885344852, 0.0] [1.0, 0.0, 0.0] [0.5701789818696393, -0.9029141112937489, 0.0]
7.0 [6.999999999999991, 0.0, 0.0] [10.519865303851052, 6.9766261502742255, 0.0] [1.0, 0.0, 0.0] [0.5598479170526105, -0.8979232394125204, 0.0]
7.1000000000000005 [7.099999999999991, 0.0, 0.0] [10.630792707558314, 6.797559911963783, 0.0] [1.0, 0.0, 0.0] [0.5494261200199948, -0.8927391436919094, 0.0]
7.2 [7.19999999999999, 0.0, 0.0] [10.739626842955706, 6.619550388140426, 0.0] [1.0, 0.0, 0.0] [0.5389152339539336, -0.8873560945416694, 0.0]
7.300000000000001 [7.29999999999999, 0.0, 0.0] [10.846350077393552, 6.442637953404231, 0.0] [1.0, 0.0, 0.0] [0.5283171104245217, -0.8817682528202789, 0.0]
7.4 [7.39999999999999, 0.0, 0.0] [10.950945170588094, 6.266864160716963, 0.0] [1.0, 0.0, 0.0] [0.5176338215208884, -0.8759696740523943, 0.0]
7.5 [7.499999999999989, 0.0, 0.0] [11.053395319976689, 6.092271761969536, 0.0] [1.0, 0.0, 0.0] [0.5068676723650561, -0.8699543134218843, 0.0]
7.6000000000000005 [7.599999999999989, 0.0, 0.0] [11.153684208611914, 5.918904727466988, 0.0] [1.0, 0.0, 0.0] [0.4960212139871921, -0.8637160316035914, 0.0]
7.7 [7.699999999999989, 0.0, 0.0] [11.251796055664174, 5.746808264156692, 0.0] [1.0, 0.0, 0.0] [0.4850972565354187, -0.8572486014993828, 0.0]
7.800000000000001 [7.799999999999988, 0.0, 0.0] [11.347715669596445, 5.576028832412135, 0.0] [1.0, 0.0, 0.0] [0.4740988827872894, -0.8505457159461934, 0.0]
7.9 [7.899999999999988, 0.0, 0.0] [11.441428504067515, 5.406614161170956, 0.0] [1.0, 0.0, 0.0] [0.46302946192341354, -0.8436009964655928, 0.0]
8.0 [7.999999999999988, 0.0, 0.0] [11.5329207166115, 5.238613261211816, 0.0] [1.0, 0.0, 0.0] [0.4518926635164425, -0.8364080031258072, 0.0]
8.1 [8.099999999999987, 0.0, 0.0] [11.622179230131218, 5.07207643634043, 0.0] [1.0, 0.0, 0.0] [0.44069247168074244, -0.8289602455880516, 0.0]
8.200000000000001 [8.199999999999987, 0.0, 0.0] [11.709191797231247, 4.90705529224069, 0.0] [1.0, 0.0, 0.0] [0.4294331993195418, -0.8212511954093378, 0.0]
8.3 [8.299999999999986, 0.0, 0.0] [11.79394706740292, 4.743602742732401, 0.0] [1.0, 0.0, 0.0] [0.4181195023971842, -0.8132742996735477, 0.0]
8.4 [8.399999999999986, 0.0, 0.0] [11.87643465705807, 4.58177301316291, 0.0] [1.0, 0.0, 0.0] [0.40675639415430886, -0.8050229960213573, 0.0]
8.5 [8.499999999999986, 0.0, 0.0] [11.956645222390843, 4.421621640646027, 0.0] [1.0, 0.0, 0.0] [0.3953492591734191, -0.7964907291474691, 0.0]
8.6 [8.599999999999985, 0.0, 0.0] [12.03457053502732, 4.26320547084824, 0.0] [1.0, 0.0, 0.0] [0.3839038671913474, -0.7876709688304014, 0.0]
8.700000000000001 [8.699999999999985, 0.0, 0.0] [12.110203560400826, 4.1065826510096315, 0.0] [1.0, 0.0, 0.0] [0.37242638654370996, -0.7785572295556795, 0.0]
8.8 [8.799999999999985, 0.0, 0.0] [12.183538538766658, 3.9518126188753118, 0.0] [1.0, 0.0, 0.0] [0.3609233971146051, -0.7691430917875185, 0.0]
8.9 [8.899999999999984, 0.0, 0.0] [12.254571068743386, 3.7989560872028747, 0.0] [1.0, 0.0, 0.0] [0.34940190265267523, -0.7594222249368535, 0.0]
9.0 [8.999999999999984, 0.0, 0.0] [12.323298193238886, 3.6480750235027197, 0.0] [1.0, 0.0, 0.0] [0.3378693423023277, -0.7493884120646968, 0.0]
9.1 [9.099999999999984, 0.0, 0.0] [12.389718487587775, 3.499232624661333, 0.0] [1.0, 0.0, 0.0] [0.32633360118657495, -0.739035576349171, 0.0]
9.200000000000001 [9.199999999999983, 0.0, 0.0] [12.45383214969301, 3.3524932860932135, 0.0] [1.0, 0.0, 0.0] [0.3148030198657793, -0.7283578093320237, 0.0]
9.3 [9.299999999999983, 0.0, 0.0] [12.515641091928067, 3.2079225650654233, 0.0] [1.0, 0.0, 0.0] [0.30328640248478533, -0.7173494009458762, 0.0]
9.4 [9.399999999999983, 0.0, 0.0] [12.575149034517521, 3.065587137840158, 0.0] [1.0, 0.0, 0.0] [0.2917930234097541, -0.7060048713067798, 0.0]
9.5 [9.499999999999982, 0.0, 0.0] [12.63236160007307, 2.9255547502857024, 0.0] [1.0, 0.0, 0.0] [0.28033263214574944, -0.6943190042377745, 0.0]
9.600000000000001 [9.599999999999982, 0.0, 0.0] [12.687286408919352, 2.7878941616151227, 0.0] [1.0, 0.0, 0.0] [0.26891545631707503, -0.6822868824680197, 0.0]
9.700000000000001 [9.699999999999982, 0.0, 0.0] [12.739933174799548, 2.6526750809254516, 0.0] [1.0, 0.0, 0.0] [0.2575522024848874, -0.669903924428689, 0.0]
9.8 [9.799999999999981, 0.0, 0.0] [12.79031380050514, 2.5199680962284634, 0.0] [1.0, 0.0, 0.0] [0.24625405457104943, -0.6571659225411932, 0.0]
9.9 [9.89999999999998, 0.0, 0.0] [12.838442472927643, 2.3898445956877885, 0.0] [1.0, 0.0, 0.0] [0.23503266965397662, -0.6440690828655556, 0.0]
10.0 [9.99999999999998, 0.0, 0.0] [12.884335756983216, 2.2623766808065326, 0.0] [1.0, 0.0, 0.0] [0.22390017090175984, -0.6306100659470021, 0.0]
10.100000000000001 [10.09999999999998, 0.0, 0.0] [12.928012687814446, 2.137637071345103, 0.0] [1.0, 0.0, 0.0] [0.21286913741054037, -0.6167860286672949, 0.0]
10.200000000000001 [10.19999999999998, 0.0, 0.0] [12.969494860627742, 2.015699001790943, 0.0] [1.0, 0.0, 0.0] [0.20195259072242655, -0.6025946668743037, 0.0]
10.3 [10.29999999999998, 0.0, 0.0] [13.00880651748074, 1.8966361092505986, 0.0] [1.0, 0.0, 0.0] [0.19116397780756422, -0.5880342585291418, 0.0]
10.4 [10.399999999999979, 0.0, 0.0] [13.04597463029247, 1.7805223126901488, 0.0] [1.0, 0.0, 0.0] [0.18051715030973003, -0.5731037070753551, 0.0]
10.5 [10.499999999999979, 0.0, 0.0] [13.08102897931088, 1.6674316835126446, 0.0] [1.0, 0.0, 0.0] [0.17002633987436144, -0.5578025846996865, 0.0]
10.600000000000001 [10.599999999999978, 0.0, 0.0] [13.114002226238574, 1.5574383075307308, 0.0] [1.0, 0.0, 0.0] [0.15970612940257456, -0.5421311751194513, 0.0]
10.700000000000001 [10.699999999999978, 0.0, 0.0] [13.144929981189303, 1.4506161384689542, 0.0] [1.0, 0.0, 0.0] [0.14957142010471036, -0.5260905154983132, 0.0]
10.8 [10.799999999999978, 0.0, 0.0] [13.173850862626017, 1.347038843213023, 0.0] [1.0, 0.0, 0.0] [0.1396373942624184, -0.5096824370609987, 0.0]
10.9 [10.899999999999977, 0.0, 0.0] [13.20080654941719, 1.2467796391120092, 0.0] [1.0, 0.0, 0.0] [0.12991947364930434, -0.4929096039491383, 0.0]
11.0 [10.999999999999977, 0.0, 0.0] [13.225841824142782, 1.1499111237335087, 0.0] [1.0, 0.0, 0.0] [0.12043327360661293, -0.47577554983586606, 0.0]
11.100000000000001 [11.099999999999977, 0.0, 0.0] [13.249004606785654, 1.0565050975702164, 0.0] [1.0, 0.0, 0.0] [0.11119455282211033, -0.4582847117970569, 0.0]
